t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
28445.0,37405.0,32922.0,23239.0,28446.0,32476.0,20018.0,22650.0,28457.0,25353.0,29982.0,30503.0,27081.0,15166.0,20591.0,26728.0,4935.110535742842,6,9.51,12.0,13.15,6.0,14.13
29772.0,37260.0,28058.0,16475.0,17597.0,29248.0,34087.0,28728.0,19188.0,28047.0,32760.0,29719.0,28052.0,27622.0,30785.0,25734.5,5574.713151065861,4,8.38,5.0,33.8,8.0,11.06
29317.0,37374.0,23759.0,16358.0,22199.0,27438.0,33481.0,30271.0,23646.0,25396.0,33604.0,31073.0,31443.0,30261.0,31865.0,25051.3,6188.16228051592,4,6.59,8.0,27.24,5.0,11.75
30905.0,37251.0,22528.0,16703.0,25875.0,27427.0,28549.0,19910.0,20684.0,21460.0,33384.0,22078.0,19095.0,29324.0,27051.0,25865.033333333333,4728.6235029046475,4,3.8,6.0,3.04,6.0,2.18
30052.0,36423.0,29361.0,18978.0,26559.0,29351.0,34485.0,18853.0,24325.0,27830.0,32375.0,28632.0,19654.0,14393.0,20984.0,24887.7,5413.711186422859,6,4.72,20.0,28.94,6.0,10.74
31171.0,36910.0,25238.0,27126.0,27309.0,27855.0,18609.0,24015.0,30346.0,34018.0,32040.0,30021.0,33984.0,31699.0,31622.0,27158.133333333335,4785.520422645332,5,7.32,4.0,3.59,6.0,7.51
29287.0,37312.0,34427.0,23491.0,23643.0,28445.0,22107.0,15741.0,16911.0,19026.0,25426.0,28158.0,23360.0,32539.0,31854.0,26407.866666666665,5637.579620920863,6,4.14,3.0,35.83,6.0,6.54
30851.0,37315.0,18782.0,15962.0,24634.0,26772.0,25065.0,27307.0,32933.0,19105.0,29945.0,29167.0,28642.0,30256.0,32257.0,24660.4,6107.955307629551,4,4.33,6.0,4.23,7.0,0.09
28547.0,36850.0,35490.0,26553.0,18124.0,27488.0,18775.0,14391.0,23287.0,24039.0,27599.0,19671.0,20300.0,21881.0,24657.0,25209.2,4902.844272460629,6,6.76,3.0,43.48,10.0,3.81
28325.0,37363.0,36101.0,19204.0,12576.0,10416.0,25978.0,23610.0,30331.0,29265.0,30705.0,28013.0,31899.0,30155.0,29315.0,25251.5,6410.899878332214,5,4.2,3.0,45.46,8.0,5.48
32643.0,22196.0,14861.0,23218.0,16008.0,16787.0,15607.0,20371.0,21924.0,27434.0,32386.0,22052.0,20626.0,26071.0,24320.0,24499.066666666666,4875.791730125022,4,5.18,6.0,33.07,13.0,14.66
27749.0,37277.0,36028.0,31068.0,30887.0,30522.0,22901.0,23674.0,21379.0,22837.0,29571.0,30247.0,27588.0,28962.0,32378.0,24745.766666666666,6086.161284330944,8,9.09,3.0,48.12,10.0,0.23
30646.0,37297.0,25528.0,19143.0,23965.0,23689.0,30649.0,19704.0,27006.0,23180.0,19072.0,24562.0,20607.0,31109.0,32117.0,24663.1,4666.904465488875,5,7.38,6.0,3.39,5.0,4.83
30126.0,36639.0,25362.0,10155.0,13022.0,23283.0,14077.0,17556.0,23781.0,22507.0,29873.0,28262.0,19862.0,31996.0,33603.0,23766.0,6256.563087404032,4,7.59,10.0,2.62,8.0,26.31
32233.0,36714.0,33590.0,29430.0,29992.0,33067.0,25713.0,31930.0,18354.0,26746.0,33491.0,31016.0,22066.0,19556.0,23088.0,27592.366666666665,4987.6433746031025,7,7.1,3.0,27.4,6.0,15.9
31618.0,36823.0,16533.0,14921.0,21317.0,29180.0,37230.0,32755.0,17454.0,23315.0,29407.0,33293.0,17774.0,25257.0,25235.0,24080.9,6530.045152217556,4,3.71,4.0,34.69,8.0,15.98
30329.0,37423.0,29472.0,18997.0,18606.0,20724.0,20968.0,33875.0,27423.0,27323.0,27970.0,26530.0,29612.0,25786.0,25641.0,23978.233333333334,5684.519397353561,5,8.95,5.0,21.59,6.0,18.15
31340.0,37234.0,27933.0,18675.0,25397.0,28125.0,20326.0,19353.0,28015.0,18141.0,21788.0,21776.0,21438.0,31389.0,16506.0,20548.866666666665,6465.525695220425,10,4.43,8.0,3.45,6.0,28.86
