t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
4025.0,7403.0,5933.0,9589.0,8793.0,3661.0,8167.0,9210.0,9056.0,9106.0,9436.0,8944.0,6620.0,9416.0,8095.0,7768.266666666666,1933.571512914781,5,2.08,5,18.31,7.0,6.24
8185.0,9299.0,9139.0,9415.0,9358.0,9441.0,9395.0,7724.0,9389.0,9376.0,9392.0,9435.0,9388.0,9320.0,9328.0,9239.4,398.60595412846834,4,2.49,3,0.22,4.0,0.86
5276.0,6357.0,8861.0,8737.0,5522.0,9329.0,6836.0,5240.0,9134.0,9352.0,9458.0,9371.0,9300.0,9457.0,9146.0,8524.766666666666,1376.4075870015956,6,4.84,4,3.22,7.0,11.6
4659.0,8581.0,9395.0,9364.0,9394.0,9387.0,9410.0,9355.0,9229.0,9003.0,9391.0,9402.0,8989.0,9399.0,9386.0,9122.866666666667,868.7209269315946,5,0.66,3,1.48,4.0,5.17
3270.0,8884.0,8580.0,9582.0,7677.0,5889.0,9326.0,7918.0,5203.0,9396.0,9129.0,9371.0,9083.0,9352.0,9372.0,8565.066666666668,1451.56825383981,5,1.35,3,1.95,8.0,4.75
8623.0,4308.0,8466.0,9345.0,9401.0,9391.0,9439.0,9382.0,9414.0,9389.0,9355.0,9473.0,9275.0,9236.0,9005.0,9078.966666666667,932.9604665912818,6,0.79,5,3.24,8.0,7.12
8429.0,4493.0,9487.0,9350.0,9000.0,8900.0,9246.0,9364.0,9166.0,8126.0,8487.0,9382.0,9402.0,9111.0,9095.0,8802.5,929.6971101744194,4,9.8,4,7.0,9.0,3.12
6760.0,8729.0,6270.0,8725.0,7597.0,9345.0,8199.0,8832.0,9121.0,8306.0,9370.0,9361.0,9465.0,9296.0,9298.0,8672.466666666667,1040.3281448124378,5,9.71,8,1.81,4.0,15.09
8304.0,9419.0,9393.0,9370.0,9434.0,9240.0,9557.0,9370.0,9311.0,9468.0,9345.0,9266.0,9415.0,9453.0,9401.0,9327.466666666667,220.02783662275303,4,2.21,3,0.84,4.0,0.71
1264.0,4003.0,4805.0,9285.0,9355.0,9400.0,4886.0,6304.0,9485.0,9170.0,8865.0,9149.0,9394.0,9230.0,9633.0,8329.533333333333,2025.536763976952,6,1.42,5,11.89,6.0,26.06
8565.0,9405.0,8249.0,9032.0,9007.0,9344.0,9412.0,7891.0,9316.0,9372.0,9363.0,9470.0,8780.0,8756.0,9074.0,9028.4,412.19838265896516,4,2.39,2,0.48,4.0,3.99
6830.0,9358.0,5144.0,9693.0,9356.0,9392.0,9362.0,9402.0,9145.0,9410.0,9326.0,9482.0,9403.0,9360.0,9401.0,9128.833333333334,878.4987984561441,5,8.12,5,4.33,9.0,4.65
8601.0,5315.0,7457.0,9406.0,9106.0,5398.0,8194.0,4568.0,9384.0,8906.0,3107.0,5252.0,9542.0,9205.0,7930.0,7393.233333333334,2113.73619740549,4,4.08,5,25.2,7.0,1.93
5015.0,6834.0,3814.0,2021.0,4585.0,2381.0,5913.0,5701.0,3144.0,8859.0,4795.0,2873.0,4648.0,3947.0,1373.0,5196.733333333334,2456.7291796659683,11,8.24,8,11.74,13.0,8.96
1774.0,2177.0,9674.0,9369.0,9420.0,9252.0,9442.0,9324.0,9333.0,9554.0,9351.0,9317.0,9538.0,9398.0,9428.0,8861.033333333333,1847.8711081193464,6,6.41,4,7.45,5.0,6.47
8346.0,5678.0,9330.0,9269.0,6447.0,9389.0,8423.0,8438.0,9416.0,9367.0,9403.0,9374.0,9314.0,9382.0,9267.0,9003.066666666668,855.4874997463273,4,9.41,4,3.29,6.0,11.9
7359.0,8840.0,9406.0,9396.0,9344.0,9401.0,8959.0,9076.0,9353.0,9223.0,8914.0,9026.0,9349.0,9301.0,7615.0,8962.766666666666,775.9838779825834,4,2.37,3,1.79,4.0,8.26
8985.0,9440.0,9399.0,9422.0,9292.0,8788.0,9348.0,9295.0,9426.0,8983.0,9327.0,9440.0,9402.0,9396.0,5436.0,9191.7,713.8016601269571,4,1.3,2,0.23,4.0,2.29
7845.0,8762.0,9030.0,8784.0,9289.0,9412.0,9354.0,9406.0,9393.0,8998.0,9350.0,9361.0,9485.0,8794.0,9359.0,9043.2,735.2336771394522,4,4.84,3,1.63,4.0,0.95
8786.0,5727.0,9402.0,7675.0,7318.0,9315.0,9349.0,9394.0,9395.0,9404.0,9416.0,9233.0,9350.0,9256.0,9047.0,9090.366666666667,787.8902835350167,6,7.29,5,17.53,5.0,14.63
8414.0,8139.0,9394.0,9008.0,6546.0,7700.0,4681.0,9309.0,8206.0,4981.0,9263.0,9399.0,9176.0,8959.0,8663.0,7874.166666666667,1691.8491674956003,5,5.05,2,5.11,9.0,1.67
8811.0,9448.0,9379.0,9364.0,9355.0,9300.0,9312.0,9301.0,9361.0,9320.0,9450.0,9332.0,9355.0,8751.0,9130.0,9324.5,159.04522417643773,4,0.79,2,2.09,4.0,0.66
5648.0,8922.0,9053.0,8996.0,8902.0,9048.0,9127.0,7502.0,9092.0,8091.0,8953.0,8618.0,9020.0,9008.0,8876.0,8585.3,969.2308686100885,4,5.01,3,4.68,4.0,5.51
6516.0,9432.0,9373.0,9408.0,9400.0,9427.0,9400.0,9399.0,9058.0,9397.0,9341.0,9399.0,9416.0,9431.0,9222.0,9255.633333333333,525.4026064732539,4,6.19,3,1.59,4.0,1.28
8182.0,9447.0,9420.0,9408.0,9318.0,9451.0,9382.0,9349.0,9457.0,9204.0,9422.0,9363.0,9422.0,9404.0,9406.0,9264.166666666666,426.1391074389781,4,1.62,3,1.83,4.0,1.69
8545.0,9439.0,9418.0,9358.0,9363.0,9445.0,9367.0,9326.0,9337.0,9007.0,9436.0,9398.0,9214.0,9402.0,9343.0,9322.3,171.676857302705,4,1.42,3,1.14,4.0,1.03
5898.0,5779.0,9408.0,5518.0,4082.0,9180.0,9375.0,9372.0,9232.0,9530.0,9333.0,9398.0,9425.0,9317.0,9421.0,8736.133333333333,1445.295419244415,8,8.4,2,33.17,11.0,5.94
3365.0,8837.0,9481.0,9408.0,9448.0,7716.0,9160.0,9060.0,9246.0,9386.0,8270.0,8937.0,9398.0,9256.0,9154.0,8636.466666666667,1478.6518574551467,4,10.0,3,6.05,4.0,10.74
5042.0,5672.0,9446.0,9420.0,9291.0,9343.0,5479.0,9486.0,9408.0,9403.0,9349.0,9250.0,9132.0,9461.0,5799.0,7985.3,2013.6505348909643,4,7.39,4,18.13,5.0,22.99
8122.0,9050.0,8078.0,8845.0,9360.0,9318.0,9405.0,9374.0,9251.0,8489.0,9093.0,9324.0,8749.0,9174.0,9290.0,8970.433333333332,620.4118891689795,4,4.98,4,5.67,4.0,4.55
7040.0,8993.0,9073.0,8188.0,9086.0,9342.0,9405.0,9370.0,9334.0,9003.0,9008.0,9135.0,9272.0,8920.0,9424.0,9086.866666666667,509.9469079118814,4,8.4,3,0.59,5.0,4.16
7147.0,7197.0,9407.0,8671.0,9404.0,9267.0,9455.0,8649.0,9305.0,9402.0,9363.0,9403.0,9417.0,9382.0,9419.0,9067.3,628.6840303363846,5,4.38,2,20.9,5.0,5.76
8486.0,6857.0,9396.0,9341.0,8906.0,9111.0,9389.0,8704.0,9311.0,9236.0,9153.0,9326.0,9409.0,9096.0,9364.0,9097.1,565.6086603533106,4,6.34,4,2.98,5.0,7.14
8544.0,9149.0,8925.0,9370.0,9444.0,9274.0,9356.0,9393.0,9384.0,9453.0,9375.0,9464.0,9361.0,9154.0,9183.0,9297.266666666666,183.9405580313621,4,3.23,2,4.85,4.0,3.31
7177.0,9083.0,9381.0,9136.0,9447.0,9396.0,9302.0,9380.0,9298.0,9419.0,9418.0,9165.0,9172.0,9396.0,9442.0,9024.366666666667,630.2276035070363,4,3.66,3,2.3,4.0,4.54
8592.0,5942.0,9430.0,7696.0,5126.0,9286.0,9187.0,9228.0,9525.0,9403.0,9307.0,9187.0,9414.0,8593.0,9311.0,8858.533333333333,1094.744924121089,8,7.36,7,4.27,6.0,14.68
7517.0,8650.0,9250.0,9203.0,9279.0,9223.0,9134.0,8624.0,9085.0,8968.0,7422.0,8902.0,8971.0,9322.0,9248.0,8979.033333333333,478.3609155810658,4,3.61,3,0.32,4.0,8.59
7256.0,9413.0,9397.0,9136.0,9123.0,8758.0,9359.0,9225.0,8993.0,9181.0,8626.0,9203.0,9384.0,9118.0,9321.0,9045.533333333333,441.2713249489731,4,2.71,3,3.97,4.0,3.89
8282.0,9398.0,9431.0,9341.0,9079.0,9155.0,8437.0,9338.0,7004.0,9675.0,4731.0,9463.0,9367.0,9352.0,9524.0,8713.666666666666,1291.0602447428842,4,4.58,3,8.04,4.0,8.24
9010.0,8450.0,8975.0,9286.0,9531.0,9412.0,9120.0,9439.0,9340.0,9481.0,9428.0,9397.0,9381.0,9028.0,9305.0,9175.066666666668,692.643724355378,4,2.67,2,4.85,4.0,5.03
8518.0,9438.0,9418.0,9407.0,9365.0,9329.0,9237.0,9367.0,9399.0,9418.0,8925.0,9321.0,9198.0,9389.0,9373.0,9300.333333333334,192.46771735078644,4,1.13,3,1.37,4.0,1.27
8493.0,9459.0,9327.0,9296.0,9334.0,9431.0,9241.0,9407.0,9352.0,9422.0,8721.0,9394.0,9395.0,9304.0,9458.0,9302.8,220.21616652734647,4,1.71,3,0.97,4.0,0.44
8467.0,7355.0,9474.0,9336.0,9155.0,8947.0,8896.0,9332.0,9388.0,9354.0,8967.0,9279.0,8963.0,8919.0,7372.0,9032.533333333333,519.3583049195313,4,4.15,4,4.12,5.0,3.88
7189.0,2992.0,8165.0,7895.0,4621.0,9253.0,7463.0,5658.0,9078.0,9371.0,9395.0,9436.0,7500.0,2993.0,9187.0,7378.733333333334,2146.9044992474373,6,1.42,4,8.83,13.0,2.63
8726.0,9463.0,9362.0,9402.0,8729.0,9197.0,9091.0,9360.0,9465.0,9333.0,9198.0,9419.0,9380.0,9433.0,9373.0,9152.9,607.6648939451195,4,0.93,2,0.64,4.0,2.42
7440.0,9064.0,9349.0,9276.0,9356.0,9400.0,9406.0,8918.0,8543.0,9072.0,9407.0,9375.0,8102.0,9234.0,9396.0,9144.766666666666,445.66434928342903,4,3.96,3,0.68,4.0,2.86
8618.0,9499.0,9423.0,9410.0,9334.0,9370.0,9287.0,9417.0,9402.0,9369.0,8973.0,9140.0,9239.0,9359.0,9443.0,9214.766666666666,346.610894552122,4,0.25,3,2.67,4.0,2.33
7156.0,9445.0,9404.0,9271.0,9051.0,9420.0,9376.0,8880.0,9463.0,9353.0,9448.0,9431.0,9383.0,9167.0,9367.0,9207.066666666668,480.382551260509,4,4.21,3,2.36,4.0,2.15
9485.0,9414.0,9401.0,8522.0,8935.0,9000.0,9385.0,9320.0,9471.0,9330.0,9130.0,9412.0,9379.0,9438.0,9367.0,9166.633333333333,371.3277513045435,4,0.42,2,3.09,6.0,1.63
8313.0,9347.0,5384.0,8614.0,5687.0,8808.0,9360.0,9300.0,9366.0,9219.0,4562.0,9438.0,9084.0,6515.0,9435.0,8239.633333333333,1650.2794608456138,4,3.95,7,10.25,6.0,6.88
8994.0,9423.0,9447.0,9407.0,9293.0,9265.0,9386.0,9258.0,4950.0,9197.0,9347.0,9359.0,9327.0,9449.0,9424.0,9200.966666666667,795.5511918719554,4,1.27,2,0.08,4.0,2.69
8058.0,2773.0,8282.0,9393.0,6055.0,3328.0,9397.0,9314.0,5575.0,2755.0,9512.0,9384.0,9254.0,8679.0,9441.0,7369.866666666667,2189.2288556069743,4,3.3,8,26.94,5.0,11.56
9029.0,7393.0,9611.0,9418.0,9379.0,9370.0,9271.0,9088.0,9422.0,9404.0,9339.0,9364.0,9342.0,9425.0,9417.0,9279.866666666667,375.461736473313,4,4.49,4,2.53,5.0,5.92
8522.0,9032.0,8003.0,8728.0,9132.0,9345.0,9376.0,9359.0,9385.0,9127.0,8891.0,9141.0,9257.0,9389.0,8900.0,9087.466666666667,379.51475450750115,4,5.68,2,3.42,5.0,5.96
8302.0,8590.0,9212.0,9555.0,8906.0,9338.0,9345.0,9337.0,9370.0,9444.0,9405.0,9353.0,9419.0,9270.0,9109.0,9279.866666666667,258.3912709223918,4,3.93,2,8.99,6.0,1.88
8261.0,9467.0,9399.0,9405.0,9363.0,8874.0,9394.0,9366.0,9386.0,8862.0,8902.0,9349.0,9575.0,9373.0,9395.0,9290.333333333334,254.78217275852631,4,1.69,3,1.54,4.0,1.21
6459.0,9031.0,7790.0,9430.0,9344.0,9398.0,7800.0,6700.0,9359.0,9200.0,9394.0,9424.0,9341.0,9414.0,9448.0,8589.066666666668,1315.3335428281637,4,4.79,5,9.29,6.0,2.29
7635.0,6278.0,6910.0,8974.0,9526.0,9381.0,9423.0,9267.0,8707.0,9399.0,9352.0,9365.0,9312.0,9382.0,9409.0,9000.633333333333,782.7039237299264,6,3.37,5,2.77,6.0,2.18
8865.0,9419.0,9410.0,9362.0,9218.0,9586.0,9332.0,9413.0,9276.0,8829.0,9052.0,9331.0,9590.0,9341.0,9394.0,9320.2,170.0696719974885,4,0.6,2,1.91,4.0,0.97
8368.0,9412.0,9388.0,9130.0,9419.0,9307.0,9344.0,9523.0,9305.0,9088.0,9510.0,8996.0,9362.0,6683.0,8044.0,9136.566666666668,561.5667774677875,4,0.68,3,2.88,4.0,2.76
8809.0,7806.0,9496.0,8923.0,7856.0,9380.0,9231.0,9361.0,9400.0,8937.0,9355.0,9342.0,9412.0,9412.0,9414.0,9202.533333333333,409.68652514927663,4,4.83,4,0.08,6.0,5.88
7661.0,3368.0,4467.0,2781.0,3379.0,1571.0,4315.0,1733.0,6790.0,7535.0,9481.0,9035.0,3772.0,2213.0,938.0,5107.6,2690.1353447983493,10,0.28,12,81.26,16.0,37.54
7691.0,9616.0,9412.0,9291.0,9011.0,9386.0,9502.0,6995.0,9373.0,9448.0,9422.0,9219.0,9265.0,9301.0,9368.0,9217.666666666666,525.3557736323918,4,2.33,3,3.21,4.0,2.33
8164.0,9500.0,9321.0,9414.0,9270.0,9308.0,9287.0,9429.0,9427.0,9367.0,9395.0,9311.0,8965.0,9336.0,9108.0,9206.9,342.2858795412591,4,1.16,3,2.21,4.0,1.48
8565.0,9404.0,9213.0,8991.0,9173.0,9457.0,9376.0,9439.0,9283.0,5477.0,9381.0,9440.0,9403.0,9416.0,9407.0,9109.266666666666,822.8167043083707,4,0.72,2,1.37,4.0,1.55
7262.0,4255.0,4645.0,6483.0,2583.0,3889.0,4646.0,1129.0,8687.0,4502.0,5409.0,6110.0,1024.0,4085.0,6512.0,5114.2,1976.9739401418524,10,7.3,3,12.99,7.0,11.9
8830.0,9501.0,9332.0,7725.0,9529.0,5826.0,7568.0,9403.0,8240.0,9339.0,9417.0,9364.0,9337.0,9429.0,9401.0,9058.966666666667,777.6829466791435,4,2.34,2,1.18,5.0,0.27
6313.0,8342.0,8989.0,9069.0,8838.0,8970.0,9059.0,4601.0,8179.0,8498.0,8682.0,9239.0,9115.0,7879.0,8987.0,8565.5,923.0216953029869,4,4.52,3,1.17,4.0,8.07
8298.0,8602.0,6978.0,5195.0,5450.0,275.0,3858.0,4541.0,1401.0,5456.0,7883.0,3519.0,5881.0,3344.0,9505.0,5537.066666666667,2513.246571446759,13,2.67,2,52.61,8.0,23.15
7707.0,9265.0,9408.0,9417.0,9298.0,9464.0,9326.0,9197.0,8922.0,9406.0,9424.0,9414.0,9204.0,9460.0,9385.0,9299.166666666666,313.76350789868616,4,3.76,3,0.4,4.0,1.32
7984.0,5381.0,5425.0,9432.0,9294.0,9337.0,9571.0,9309.0,6802.0,9548.0,9271.0,8048.0,9395.0,9339.0,9424.0,8892.4,1109.0929507184387,6,5.85,3,39.24,8.0,3.54
8575.0,9464.0,9380.0,9336.0,8758.0,9364.0,9452.0,9356.0,9377.0,9448.0,9384.0,9419.0,9366.0,9340.0,9384.0,9319.633333333333,219.24620609919089,4,1.4,3,1.1,4.0,0.73
7343.0,9424.0,9264.0,7160.0,8728.0,8317.0,9232.0,5388.0,7867.0,9203.0,9179.0,9535.0,8694.0,9086.0,8425.0,8142.6,1372.3180049342307,4,1.91,3,14.75,5.0,7.53
8801.0,8252.0,7992.0,9630.0,9357.0,8258.0,8183.0,9356.0,9139.0,9413.0,9276.0,9400.0,9495.0,9424.0,9229.0,9069.666666666666,655.8592498055932,4,4.42,2,5.99,6.0,2.36
2401.0,4771.0,9430.0,9338.0,9318.0,4194.0,7121.0,9378.0,9161.0,4575.0,8595.0,5710.0,9401.0,9400.0,9340.0,7665.933333333333,2024.5142122384707,5,7.15,4,22.41,5.0,35.0
8864.0,9347.0,8895.0,9142.0,8974.0,9254.0,8328.0,9416.0,8556.0,8822.0,8874.0,9504.0,9386.0,9397.0,9416.0,9121.1,293.5985183886322,4,0.65,2,0.17,4.0,0.02
8533.0,6921.0,9621.0,9264.0,9515.0,9406.0,8521.0,9405.0,9414.0,9418.0,9305.0,9383.0,9460.0,9395.0,9438.0,9241.3,490.93218472615956,4,7.1,4,2.18,6.0,4.75
8700.0,8654.0,7187.0,9322.0,9492.0,9383.0,9187.0,9163.0,9341.0,9412.0,9386.0,8786.0,9234.0,9419.0,9391.0,9152.433333333332,481.34933145158607,4,7.5,2,5.19,6.0,5.99
8550.0,9463.0,9404.0,9421.0,8530.0,8551.0,9353.0,9461.0,9385.0,9397.0,7824.0,8449.0,8854.0,9343.0,8964.0,9109.066666666668,419.63674238030626,4,1.1,3,3.56,4.0,3.28
8908.0,9473.0,9316.0,9435.0,9338.0,9114.0,9332.0,5591.0,9647.0,9264.0,8358.0,9336.0,9414.0,9370.0,9357.0,9177.9,702.2073933912498,4,1.15,2,0.14,4.0,1.9
8036.0,8811.0,9505.0,9431.0,9417.0,9409.0,9382.0,9391.0,9198.0,9370.0,9351.0,8525.0,9381.0,9160.0,9236.0,9259.7,302.9582094392998,4,3.39,2,9.03,4.0,17.76
6419.0,9412.0,9261.0,4928.0,8939.0,9488.0,7625.0,4888.0,7419.0,7041.0,1808.0,6215.0,5574.0,9343.0,9193.0,7387.266666666666,1874.1869692097305,4,1.59,3,26.39,7.0,10.68
7966.0,8756.0,9350.0,9416.0,9380.0,9296.0,9347.0,9484.0,9060.0,7880.0,8614.0,9411.0,9397.0,8496.0,8626.0,8712.8,1174.5967648516657,4,1.83,2,4.04,4.0,17.32
8928.0,9290.0,9404.0,9403.0,9391.0,9404.0,9355.0,8884.0,9362.0,9299.0,6879.0,8895.0,9435.0,9398.0,9343.0,9122.066666666668,806.9561298828802,4,1.47,2,0.14,4.0,3.6
8900.0,9112.0,9356.0,9429.0,9364.0,9372.0,9430.0,9357.0,9223.0,9332.0,9351.0,7425.0,9394.0,9327.0,9265.0,9275.266666666666,361.5100674793012,4,0.82,2,2.9,4.0,9.67
7393.0,3255.0,8359.0,9231.0,9382.0,9410.0,9355.0,9427.0,9405.0,9297.0,9294.0,9320.0,9402.0,9226.0,9432.0,9057.633333333333,1149.3018600679088,6,0.42,5,2.75,8.0,7.55
7929.0,7779.0,9372.0,9056.0,9341.0,9508.0,9383.0,9414.0,9268.0,9343.0,9414.0,9394.0,9427.0,9429.0,9375.0,9192.333333333334,393.5451971784464,4,7.16,2,14.56,5.0,3.53
8556.0,9398.0,9074.0,9405.0,9290.0,9413.0,9109.0,9389.0,9382.0,9377.0,9458.0,9365.0,9405.0,9373.0,9413.0,9330.733333333334,176.79704622972508,4,2.38,2,3.79,4.0,1.72
8471.0,6461.0,9352.0,9384.0,9399.0,9365.0,9423.0,9393.0,9385.0,9330.0,9415.0,9470.0,9384.0,9397.0,9363.0,9121.9,694.5675561095552,4,7.73,4,2.7,6.0,5.25
6446.0,9395.0,9379.0,9408.0,9387.0,9384.0,8989.0,9405.0,9384.0,9402.0,9327.0,9391.0,9504.0,9334.0,9418.0,9283.333333333334,533.3346874982809,4,6.75,3,1.12,4.0,1.03
8688.0,9402.0,9409.0,9396.0,9420.0,9379.0,9327.0,9348.0,9088.0,9067.0,9372.0,9330.0,9383.0,9423.0,9381.0,9331.1,154.7616123806762,4,1.15,2,3.07,4.0,0.84
6745.0,8359.0,6661.0,5736.0,7780.0,7438.0,8845.0,6764.0,7280.0,8016.0,7115.0,5389.0,7228.0,5410.0,6153.0,7008.166666666667,1452.483599065943,4,1.9,6,8.57,5.0,0.08
9135.0,9440.0,9439.0,9393.0,9363.0,9400.0,9408.0,9362.0,9425.0,9375.0,9429.0,9408.0,9406.0,9302.0,9403.0,9353.566666666668,118.3065744392743,4,0.02,2,0.71,4.0,0.91
6106.0,5136.0,3121.0,3779.0,3491.0,2694.0,2921.0,2346.0,9255.0,6610.0,2060.0,1348.0,0.0,4068.0,6930.0,4640.0,2467.381797236361,4,2.25,5,21.66,5.0,21.58
5838.0,7499.0,9461.0,9338.0,9415.0,9380.0,9359.0,9399.0,9407.0,9246.0,9398.0,9370.0,8865.0,3310.0,9376.0,8927.7,1262.6701641099046,5,0.01,4,5.28,5.0,9.37
5499.0,4436.0,5168.0,6150.0,5048.0,4627.0,2823.0,3375.0,1595.0,2018.0,881.0,5103.0,9126.0,9349.0,6493.0,5067.066666666667,2379.7636848131697,4,4.86,6,4.53,5.0,1.31
8796.0,9324.0,9402.0,9357.0,9421.0,9388.0,9446.0,9265.0,9378.0,9408.0,9394.0,9415.0,9387.0,9286.0,9182.0,9287.133333333333,287.26952887875564,4,0.73,2,2.45,4.0,1.38
