t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,mean_throughput,stdv_throughput,optimal_point,optimal_error,adaptive_point,adaptive_error,ar_point,ar_error
7140.80256,3764.38784,3187.67104,8000.63488,10926.16192,9657.38496,9395.24096,9384.7552,9332.3264,9919.52896,9143.58272,9038.72512,9699.328,9248.44032,8577.35168,6400.158378666668,3539.2461150764957,5,1.09,7,48.84,6.0,29.83
9604.95616,9489.6128,8441.0368,335.54432,1960.83712,6616.51456,11114.9056,9552.52736,9542.0416,9521.07008,9384.7552,9416.21248,8986.29632,6333.39904,1006.63296,7793.7158826666655,3124.6789891945596,8,6.19,2,22.5,11.0,1.14
9720.29952,9594.4704,10380.9024,9227.4688,9447.66976,9961.472,9500.09856,9416.21248,9479.12704,9531.55584,9888.07168,8829.00992,9227.4688,9867.10016,9521.07008,9479.826090666667,320.2529562191593,4,2.65,2,1.87,6.0,2.3
9154.06848,6469.71392,10737.41824,9384.7552,9468.64128,10317.98784,9594.4704,9300.86912,9510.58432,9059.69664,9615.44192,9447.66976,9426.69824,9563.01312,9332.3264,8603.216554666667,2375.2205872895297,4,3.87,5,9.57,5.0,2.28
9500.09856,10118.7584,6176.11264,10831.79008,10286.53056,9290.38336,9479.12704,9636.41344,9290.38336,9573.49888,9699.328,9542.0416,9258.92608,9101.63968,8640.26624,8315.20768,2736.021261880993,6,9.99,2,17.97,6.0,10.88
9709.81376,10097.78688,9804.1856,9552.52736,9510.58432,9363.78368,9290.38336,9563.01312,9290.38336,9772.72832,9636.41344,9363.78368,9321.84064,8891.92448,10034.87232,8558.477312,2342.690880572995,9,9.56,2,15.72,4.0,16.14
9353.29792,5096.07936,10171.1872,9950.98624,9468.64128,9269.41184,9552.52736,9604.95616,9175.04,9374.26944,9332.3264,9615.44192,9258.92608,8199.86432,6448.7424,8541.700096,2360.107691213935,4,1.18,4,17.79,6.0,0.93
10160.70144,9615.44192,9867.10016,8178.8928,9196.01152,7340.032,3649.04448,1688.20736,2348.81024,838.8608,335.54432,5284.82304,5955.91168,10622.07488,9342.81216,7904.515413333333,3000.730763633032,6,9.37,2,25.09,5.0,19.54
8797.55264,8818.52416,1897.92256,4330.61888,10433.3312,10622.07488,9583.98464,9405.72672,9437.184,9237.95456,9447.66976,8734.63808,9594.4704,9521.07008,8378.12224,8143.590741333333,2702.655205387841,7,7.35,2,8.16,10.0,1.69
9363.78368,10601.10336,9898.55744,9730.78528,9342.81216,9521.07008,9458.15552,9604.95616,9583.98464,9552.52736,9028.23936,9321.84064,9311.35488,9762.24256,9657.38496,7930.030762666666,2972.1965587624336,24,6.84,3,29.25,4.0,28.29
9636.41344,9982.44352,9971.95776,9363.78368,9594.4704,9479.12704,9290.38336,9625.92768,9258.92608,9175.04,9059.69664,8640.26624,2956.98432,2684.35456,2852.12672,8572.1088,2473.196036313904,9,9.82,2,14.43,4.0,16.33
7308.57472,10800.3328,10192.15872,9405.72672,9206.49728,9468.64128,9657.38496,9269.41184,9552.52736,8189.37856,3995.07456,671.08864,2181.03808,5525.99552,9521.07008,7927.23456,3028.1221609090217,11,2.22,3,32.41,4.0,29.75
9741.27104,9982.44352,9877.58592,9604.95616,9500.09856,9437.184,9258.92608,9762.24256,9667.87072,9269.41184,9143.58272,9437.184,9667.87072,9625.92768,9468.64128,8210.35008,2538.7870692730753,24,7.09,2,20.11,4.0,20.72
9751.7568,8115.97824,1006.63296,2348.81024,1342.17728,1342.17728,2013.26592,671.08864,2684.35456,6207.56992,11188.30592,9531.55584,9395.24096,9563.01312,9416.21248,7502.211754666666,3338.751973735741,12,1.32,6,82.11,6.0,80.8
8011.12064,10758.38976,9552.52736,8535.40864,5651.82464,4886.36416,3649.04448,2348.81024,0.0,4875.8784,5463.08096,11104.41984,10097.78688,9416.21248,9101.63968,8080.326655999999,2582.926847958135,5,6.74,13,31.2,13.0,7.97
9122.6112,9269.41184,9573.49888,10768.87552,9646.8992,9269.41184,9604.95616,9384.7552,9531.55584,9269.41184,9028.23936,9405.72672,9437.184,8954.83904,8042.57792,8617.197568,2337.754511830004,8,9.97,2,6.72,4.0,61.69
9395.24096,10129.24416,8598.3232,10905.1904,10013.9008,9426.69824,9321.84064,9290.38336,9405.72672,9311.35488,9342.81216,9248.44032,10276.0448,9384.7552,9563.01312,9503.244288,461.2475142575461,4,2.67,2,2.73,4.0,31.61
9395.24096,10611.58912,10192.15872,9646.8992,9531.55584,9269.41184,9521.07008,9049.21088,9101.63968,6301.94176,671.08864,2348.81024,1342.17728,4320.13312,9919.52896,8498.009429333333,2648.259159720422,8,9.94,3,22.4,4.0,21.28
6343.8848,10737.41824,9594.4704,8577.35168,4456.448,3670.016,3984.5888,2055.20896,671.08864,2684.35456,3187.67104,8860.4672,11209.27744,10433.3312,9017.7536,6688.516778666666,3638.051755432967,6,1.7,7,42.78,11.0,53.47
3628.07296,167.77216,566.23104,2789.21216,8378.12224,10464.78848,9531.55584,9814.67136,9709.81376,9636.41344,9206.49728,9583.98464,9657.38496,9363.78368,9594.4704,8433.347242666667,2701.762005925055,7,7.62,7,18.56,8.0,17.85
10003.41504,10013.9008,9909.0432,9468.64128,9636.41344,9290.38336,9227.4688,6742.34368,1006.63296,1006.63296,335.54432,3355.4432,4131.38944,6763.3152,10894.70464,6545.211392,3671.760615523817,9,0.33,2,52.92,6.0,47.71
9583.98464,10097.78688,10223.616,9300.86912,9804.1856,9237.95456,9384.7552,8839.49568,2715.81184,1289.74848,3040.8704,1006.63296,2925.52704,6123.68384,8283.7504,8172.601344000001,2807.3659800504956,9,7.69,2,20.41,5.0,21.81
9363.78368,11072.96256,9080.66816,8745.12384,11020.53376,9751.7568,9510.58432,9604.95616,9332.3264,9374.26944,9353.29792,9080.66816,8881.43872,8776.58112,8503.95136,7450.482005333333,3438.1981806363115,23,5.48,4,19.63,5.0,30.64
9321.84064,10622.07488,9164.55424,9122.6112,4791.99232,4697.62048,3690.98752,1006.63296,1677.7216,1677.7216,3690.98752,7518.28992,11062.4768,10034.87232,9038.72512,6712.2845013333335,3692.3652400194787,6,3.46,4,36.22,14.0,38.5
7507.80416,10433.3312,10297.01632,9342.81216,9300.86912,9290.38336,9531.55584,9783.21408,9426.69824,9447.66976,9384.7552,9604.95616,9237.95456,9688.84224,9447.66976,8944.702805333334,1897.7593446058117,4,5.04,3,15.88,5.0,11.19
9437.184,9489.6128,10055.84384,9657.38496,9321.84064,9080.66816,10066.3296,9332.3264,9982.44352,9112.12544,9636.41344,9049.21088,9374.26944,9479.12704,8462.00832,8667.529216,2208.9286519143648,6,9.94,2,9.18,5.0,12.23
9531.55584,10003.41504,6637.48608,9804.1856,9667.87072,9479.12704,9342.81216,9080.66816,9741.27104,9321.84064,8944.35328,9395.24096,8860.4672,8378.12224,7140.80256,7459.569664,3155.7836171227714,21,9.09,2,30.94,6.0,20.26
9909.0432,9867.10016,10087.30112,9625.92768,9279.8976,9290.38336,9646.8992,9479.12704,8986.29632,8619.29472,3418.35776,3428.84352,2610.95424,2390.75328,6186.5984,8517.932373333335,2318.411310885067,9,9.78,2,16.09,4.0,362.23
7203.71712,9982.44352,9814.67136,5872.0256,2013.26592,2684.35456,3690.98752,2684.35456,1342.17728,1342.17728,7035.94496,10234.10176,9426.69824,6469.71392,2852.12672,6262.445397333333,3471.263490276096,22,9.12,3,58.06,10.0,76.35
9709.81376,9133.09696,6532.62848,10422.84544,9678.35648,9416.21248,9489.6128,9426.69824,9112.12544,9300.86912,9311.35488,9070.1824,6752.82944,1006.63296,692.06016,8590.284117333335,2353.9518151549314,4,4.18,2,9.68,6.0,3.6
8933.86752,1719.66464,9615.44192,10485.76,9479.12704,9846.12864,9185.52576,9583.98464,9101.63968,9720.29952,9699.328,9604.95616,9384.7552,9521.07008,9384.7552,8350.859264,2634.352658493704,4,7.93,4,20.35,9.0,2.25
9269.41184,10433.3312,10496.24576,9300.86912,8482.97984,8367.63648,2506.09664,1845.49376,1006.63296,167.77216,2684.35456,4194.304,4791.99232,10789.84704,10244.58752,7869.5628799999995,3114.1798067807536,7,8.96,3,32.98,15.0,13.13
9793.69984,10664.01792,9919.52896,9437.184,9615.44192,9594.4704,9688.84224,9416.21248,9374.26944,9279.8976,9416.21248,9646.8992,9332.3264,8514.43712,9510.58432,9424.251562666668,399.30129600508786,4,5.62,2,8.54,5.0,6.89
9101.63968,3135.24224,2684.35456,10758.38976,10192.15872,9185.52576,9573.49888,9479.12704,9185.52576,9510.58432,9688.84224,9563.01312,9531.55584,10139.72992,9154.06848,9064.939519999998,1712.1542246514712,6,9.49,5,15.56,9.0,11.49
9437.184,10947.13344,9479.12704,9741.27104,9468.64128,9332.3264,9542.0416,9279.8976,9489.6128,9542.0416,9311.35488,9583.98464,9426.69824,9216.98304,9321.84064,7620.700842666667,2976.667835468804,30,46.82,4,26.11,5.0,31.75
9216.98304,4729.07776,8021.6064,10517.21728,9804.1856,9374.26944,9122.6112,9290.38336,8451.52256,7476.34688,2684.35456,1509.94944,335.54432,2233.46688,4980.736,7952.400384,2857.1988084805316,4,2.12,5,27.77,7.0,7.07
9258.92608,2474.63936,2139.09504,4624.22016,10055.84384,10317.98784,10024.38656,9426.69824,9510.58432,9133.09696,9678.35648,9269.41184,9678.35648,9332.3264,9825.15712,7811.541674666666,3005.4262353380727,24,6.72,6,30.41,10.0,1.76
9720.29952,10202.64448,7769.94816,5525.99552,11356.07808,9563.01312,9604.95616,9353.29792,9405.72672,8650.752,10181.67296,9930.01472,9437.184,9405.72672,9342.81216,8365.539328,2388.0880434218925,4,0.73,2,19.08,7.0,5.97
8829.00992,3533.70112,10475.27424,9730.78528,9332.3264,9688.84224,9468.64128,9416.21248,8829.00992,9531.55584,9395.24096,9458.15552,7990.14912,3774.8736,1321.20576,7070.547968,3432.5197422445804,14,8.26,4,42.89,8.0,22.45
9101.63968,10569.64608,9070.1824,3743.41632,2852.12672,4582.27712,1436.54912,3019.89888,0.0,2852.12672,7738.49088,11649.67936,9762.24256,9290.38336,9321.84064,7860.475221333332,3018.480400412917,4,3.32,14,21.19,13.0,5.05
8734.63808,4236.24704,7549.7472,10978.59072,9615.44192,9342.81216,9374.26944,9458.15552,9510.58432,9479.12704,9101.63968,8524.92288,7916.7488,1520.4352,2107.63776,8437.541546666667,2339.0208146882023,4,6.67,6,12.34,7.0,0.28
9500.09856,10496.24576,9657.38496,9825.15712,9290.38336,9552.52736,9070.1824,9531.55584,9730.78528,9783.21408,9531.55584,9657.38496,9405.72672,9688.84224,8912.896,8188.679509333334,2886.3520982889445,25,4.73,3,23.06,4.0,22.88
10443.81696,9783.21408,9720.29952,9416.21248,9321.84064,9573.49888,9437.184,9667.87072,9426.69824,9248.44032,9248.44032,9290.38336,10370.41664,9552.52736,9426.69824,7435.801941333332,3368.27979486849,30,80.12,2,36.01,4.0,30.64
9405.72672,10255.07328,10087.30112,9542.0416,9426.69824,9510.58432,9426.69824,9814.67136,8524.92288,9950.98624,10380.9024,9563.01312,9332.3264,9143.58272,8441.0368,8472.843605333333,2391.33495940679,9,9.99,2,16.02,4.0,19.39
9468.64128,9521.07008,11062.4768,9500.09856,9552.52736,9405.72672,9458.15552,9175.04,9793.69984,9751.7568,9856.6144,9227.4688,9594.4704,9143.58272,9489.6128,8579.448831999998,2442.7025982010605,8,9.54,2,10.67,5.0,17.31
9405.72672,10213.13024,10338.95936,9332.3264,9206.49728,9363.78368,8776.58112,4844.42112,2181.03808,1121.97632,2380.26752,2013.26592,3019.89888,5536.48128,6228.54144,7915.001173333334,2882.511181326132,8,1.68,2,23.93,6.0,23.19
9573.49888,10726.93248,9311.35488,9573.49888,9437.184,9552.52736,9028.23936,9961.472,9741.27104,9363.78368,9321.84064,9500.09856,9300.86912,9909.0432,9353.29792,9481.573717333335,356.04967278647865,4,3.32,4,0.41,5.0,4.35
8996.78208,10726.93248,9846.12864,9395.24096,9783.21408,9542.0416,9332.3264,9489.6128,9227.4688,9091.15392,9332.3264,6081.7408,1709.17888,2652.89728,7046.43072,8838.796629333334,1998.803212506202,6,9.08,3,16.38,4.0,15.02
9867.10016,9500.09856,10412.35968,9552.52736,9426.69824,9363.78368,9311.35488,9206.49728,9762.24256,9133.09696,10171.1872,9531.55584,9342.81216,9510.58432,9143.58272,7875.155285333335,3026.1407811536674,20,5.12,2,22.96,5.0,25.54
10181.67296,10118.7584,9867.10016,9290.38336,9279.8976,9196.01152,7381.97504,838.8608,1509.94944,838.8608,1677.7216,4362.07616,8556.38016,10810.81856,9772.72832,8173.300394666668,2933.829618702175,7,7.51,2,24.19,4.0,324.13
9133.09696,10087.30112,10590.6176,9573.49888,9468.64128,9300.86912,9489.6128,9583.98464,9594.4704,9458.15552,9300.86912,9311.35488,9311.35488,9856.6144,9500.09856,8618.595669333334,2147.9739742451193,7,9.74,3,19.96,5.0,16.94
9699.328,10118.7584,10181.67296,9300.86912,9573.49888,9300.86912,9793.69984,8755.6096,10391.38816,9227.4688,9688.84224,9625.92768,9248.44032,9384.7552,9133.09696,8137.998336,3033.74058335027,19,9.46,2,21.76,4.0,25.24
7140.80256,10034.87232,10171.1872,9007.26784,7266.63168,3009.41312,3690.98752,1509.94944,828.37504,1342.17728,1677.7216,7465.86112,9395.24096,8262.77888,3355.4432,6161.782101333335,3552.9972902421123,7,6.79,3,63.96,14.0,29.83
9059.69664,10726.93248,9909.0432,9521.07008,9311.35488,9447.66976,9510.58432,9279.8976,9416.21248,9615.44192,9038.72512,10653.53216,9300.86912,9720.29952,9416.21248,8412.725247999999,2694.873164301017,23,7.82,3,22.65,4.0,21.23
9175.04,10653.53216,9835.64288,8346.66496,10737.41824,9919.52896,9573.49888,9227.4688,9321.84064,9531.55584,9489.6128,9416.21248,9688.84224,9342.81216,8430.55104,9068.434773333334,1695.8061838349583,4,4.79,3,12.97,5.0,8.08
9080.66816,4854.90688,7602.176,11303.64928,9300.86912,9489.6128,9437.184,9363.78368,9248.44032,9500.09856,9804.1856,9269.41184,9489.6128,9363.78368,9615.44192,7890.5344000000005,2694.854940183428,4,4.05,6,19.07,7.0,8.18
8262.77888,1740.63616,8661.23776,7990.14912,9028.23936,10622.07488,9646.8992,9762.24256,9604.95616,9007.26784,9112.12544,9772.72832,8136.94976,6029.312,1132.46208,7764.705279999998,2959.324408144356,14,6.41,4,7.22,10.0,8.76
9720.29952,10485.76,9646.8992,9468.64128,9510.58432,9447.66976,9279.8976,9751.7568,9688.84224,9405.72672,9363.78368,9594.4704,9374.26944,8745.12384,9625.92768,7963.235669333332,3102.0660041239553,25,0.07,2,26.87,5.0,24.48
9552.52736,8241.80736,335.54432,2348.81024,1342.17728,2810.18368,1876.95104,1342.17728,1509.94944,4739.56352,11314.13504,9825.15712,9447.66976,9657.38496,9416.21248,7489.279317333333,3379.7267296196396,12,8.57,13,28.67,17.0,1.75
9458.15552,10433.3312,10024.38656,9657.38496,9416.21248,9154.06848,8933.86752,8273.26464,2831.1552,1845.49376,1331.69152,1321.20576,5872.0256,6134.1696,10171.1872,7486.133589333333,3301.9944422569847,9,2.51,3,36.64,4.0,35.64
9216.98304,10569.64608,9542.0416,9542.0416,9321.84064,9678.35648,9143.58272,9542.0416,9919.52896,9479.12704,9028.23936,9248.44032,9374.26944,8724.15232,8933.86752,6801.7629866666675,3267.997568325761,17,7.62,3,47.84,4.0,47.28
9363.78368,10139.72992,10370.41664,9468.64128,9363.78368,9468.64128,9510.58432,9175.04,9489.6128,9227.4688,9825.15712,9919.52896,9531.55584,9332.3264,9363.78368,9156.515157333335,1239.6151860470447,4,7.42,2,6.5,5.0,9.42
8766.09536,2852.12672,7748.97664,10800.3328,9405.72672,9468.64128,9342.81216,9657.38496,9154.06848,9384.7552,9510.58432,10024.38656,9563.01312,9458.15552,9059.69664,7349.1196586666665,2955.602917795776,4,2.62,6,28.41,9.0,16.17
8996.78208,10517.21728,10108.27264,9479.12704,9458.15552,9395.24096,9521.07008,9311.35488,9594.4704,9542.0416,9080.66816,9468.64128,10244.58752,9552.52736,9091.15392,9411.668650666667,542.6971471293944,4,3.86,3,9.57,4.0,8.37
10150.21568,9940.50048,9667.87072,9531.55584,9206.49728,8566.86592,2956.98432,3690.98752,6490.68544,11660.16512,9982.44352,9258.92608,9363.78368,9604.95616,9573.49888,9039.773696,1713.052185287607,4,8.66,2,11.12,4.0,6.26
